feature,u_stat,p_value
pi,17597.0,4.596716615209889e-23
total_charge,17834.5,1.7555144310458828e-22
net_charge_ph7,17936.5,3.1051425943587385e-22
aromaticity,47633.5,3.0104044926712136e-13
mean_hydrophobicity,47327.0,2.1591370038607014e-12
boman_index,24801.0,7.019980458389829e-09
mw,25579.0,8.900481066062573e-08
gravy,42218.5,3.827915543327831e-05
instability_index,29369.5,0.0014154527469857803
hydrophobic_ratio_pct,37482.0,0.15440494606554286
hydrophobicity_ph7,37482.0,0.15440494606554286
hydrophilic_ratio,32478.0,0.15440494606554286
aliphatic_index,33426.5,0.37524523634323736
